,No.,Player,PronounsMere Info  PronounsInterested in learning more about pronouns? Click here.,Position,Year,Height,Points,Assists,Ds,Turns,team_name,level,gender,division
8,12,Ivy Chang,S,Dump,College (FR),"5'5""",1.0,1.0,3.0,6.0,Rochester,Division 3,Women,Division 3 Women
9,13,Kaitlin Chung,S/T,Dump,,,1.0,2.0,1.0,13.0,Rochester,Division 3,Women,Division 3 Women
10,20,Lexi Simard,,Dump,,,2.0,,,6.0,Rochester,Division 3,Women,Division 3 Women
11,21,Mary MacAdam,,Dump,,,4.0,1.0,2.0,8.0,Rochester,Division 3,Women,Division 3 Women
12,27,Lauren MacIsaac,,Dump,,,1.0,,,,Rochester,Division 3,Women,Division 3 Women
13,29,Tay Harvey,S/T,Dump,College (SO),"5'10""",6.0,20.0,20.0,37.0,Rochester,Division 3,Women,Division 3 Women
14,31,Jane Bonnevie-Rothrock,,Dump,,,1.0,2.0,,9.0,Rochester,Division 3,Women,Division 3 Women
15,37,Penny Chen,,Dump,,,8.0,4.0,8.0,15.0,Rochester,Division 3,Women,Division 3 Women
16,44,Rosalyn Norman,S,,,,6.0,,4.0,11.0,Rochester,Division 3,Women,Division 3 Women
17,45,April Loy,H/S,,College (SO),"6'9""",5.0,2.0,4.0,5.0,Rochester,Division 3,Women,Division 3 Women
18,59,Juliana Cabarcos,S,,,,3.0,1.0,4.0,6.0,Rochester,Division 3,Women,Division 3 Women
19,72,Anna Spak,,Dump,,,,,1.0,2.0,Rochester,Division 3,Women,Division 3 Women
0,3,Rachel Ressmeyer,,,,,1.0,,2.0,3.0,Claremont,Division 3,Women,Division 3 Women
1,4,Sophie David,,,,,1.0,,1.0,7.0,Claremont,Division 3,Women,Division 3 Women
2,5,Araminta Dosh Galdames,,Cutter,,,4.0,3.0,3.0,6.0,Claremont,Division 3,Women,Division 3 Women
3,7,Annika Dank,S,,,,2.0,,,12.0,Claremont,Division 3,Women,Division 3 Women
4,12,Laila Hannum,,,,,3.0,1.0,4.0,5.0,Claremont,Division 3,Women,Division 3 Women
5,16,Madeleine (Mattie) Johnson,,,,,1.0,5.0,2.0,27.0,Claremont,Division 3,Women,Division 3 Women
6,18,Maya Chow,,,,,3.0,5.0,3.0,22.0,Claremont,Division 3,Women,Division 3 Women
7,21,Joelle Rudolf,,Handler,,,,2.0,1.0,33.0,Claremont,Division 3,Women,Division 3 Women
8,22,Ava Eggener,S,,,,6.0,1.0,5.0,11.0,Claremont,Division 3,Women,Division 3 Women
9,23,Sylvie Kromer,S,Handler,,,,,,5.0,Claremont,Division 3,Women,Division 3 Women
10,26,Theresa Provasnik,,,,,,,3.0,10.0,Claremont,Division 3,Women,Division 3 Women
11,32,Grace Flikke,,,,,1.0,3.0,5.0,18.0,Claremont,Division 3,Women,Division 3 Women
12,35,Caroline Ambrose,,,,,4.0,,3.0,9.0,Claremont,Division 3,Women,Division 3 Women
13,37,Nora Verner,S,Handler,College (SO),"5'8""",5.0,7.0,8.0,49.0,Claremont,Division 3,Women,Division 3 Women
14,82,Elisabeth Lux,,,,,3.0,7.0,5.0,29.0,Claremont,Division 3,Women,Division 3 Women
